timestamp,cache_misses,cpu_cycles,instructions,ref_cpu_cycles,rx_bytes,rx_packets
52.00501203536987,7738210472.857337,42441229653828.72,10730854986532.852,61519705539322.59,147513184.0,1740787.0
53.005563497543335,7739383037.085366,42444429968223.8,10732244493494.828,61523453013897.734,147710470.0,1742815.0
54.00552821159363,7740420012.396187,42447428344798.055,10733281833477.08,61527415243674.98,147941102.0,1745112.0
55.005879163742065,7741562168.715011,42450630465278.2,10734508109507.305,61531376185391.8,148196266.0,1747656.0
56.006046533584595,7742098940.683296,42453729899478.52,10735497663369.922,61535425749059.11,148494008.0,1750739.0
57.0061092376709,7742635130.348072,42456795117172.6,10736480699937.117,61539454068666.95,148756399.0,1753372.0
58.006056785583496,7743226761.83336,42459815989532.234,10737608782066.402,61543377654326.66,149076503.0,1756608.0
59.00590419769287,7743694451.092587,42462818659551.86,10738666582576.38,61547256605908.945,149431100.0,1760132.0
60.00596475601196,7745608360.120924,42467357648133.67,10741308585486.65,61552105571821.02,149755164.0,1763489.0
61.00627589225769,7746773932.854457,42470641454825.18,10742867934496.396,61556045745913.516,150064415.0,1766718.0
62.00603199005127,7748921871.978211,42475283266222.27,10745545743493.488,61560948094446.83,150349398.0,1769681.0
63.00634407997131,7750295065.888747,42478579903340.36,10747014167319.861,61564803309591.48,150634786.0,1772543.0
64.00699496269226,7751111157.852582,42481554998068.77,10748105797470.342,61568615127967.8,150923905.0,1775480.0
65.00678610801697,7751633253.268495,42484410427625.375,10748991479092.29,61572422083056.37,151217980.0,1778530.0
66.00702667236328,7752188537.3948555,42487384938966.86,10749967102767.057,61576348111998.64,151531849.0,1781765.0
67.00662231445312,7752965102.483185,42490801780110.46,10751147928083.13,61580573681980.14,151840046.0,1785065.0
68.0066819190979,7757001675.693851,42496322727728.41,10754752043149.03,61586242311176.85,152172027.0,1788501.0
69.00682663917542,7759419737.893761,42500761249578.74,10757194608480.006,61590938815963.38,152498774.0,1791882.0
70.00687503814697,7762009510.786671,42505517474952.59,10759898314102.822,61595840485855.65,152847501.0,1795546.0
71.007169008255,7763089354.47154,42509134752985.64,10761669578803.486,61599909964504.67,153218068.0,1799441.0
72.00699520111084,7764117454.675107,42512624834781.93,10763349112055.86,61603964037605.96,153619708.0,1803599.0
73.00731372833252,7765732281.784337,42516907728314.06,10765742474978.13,61608532230143.9,154036841.0,1807952.0
74.00750017166138,7767577693.449708,42521043544897.24,10767871877141.832,61613016840813.05,154563833.0,1813303.0
75.00773525238037,7769745933.620718,42526070427345.625,10770805839970.664,61618135856128.805,155017352.0,1817968.0
76.0074851512909,7771595749.961006,42530133206760.77,10772993726075.164,61622805403299.51,155510230.0,1822946.0
77.00754404067993,7772247417.644523,42533272126983.42,10774315038766.258,61626742508809.76,155982572.0,1827917.0
78.00762629508972,7772795442.35916,42536477555524.625,10775735508265.05,61630714915335.91,156453703.0,1832901.0
79.00787401199341,7773265428.750142,42539649477129.055,10777107055875.1,61634693920788.09,156952529.0,1838178.0
80.00782704353333,7775272351.820495,42544519918252.25,10780023119292.32,61639903760952.32,157394447.0,1842862.0
81.00805187225342,7776426292.236506,42548398173465.07,10781991088696.066,61644286928444.195,157752408.0,1846622.0
82.00823450088501,7777565384.657875,42551488961011.42,10783183924719.01,61648180331868.47,158096543.0,1850173.0
83.00800824165344,7779659273.651297,42556058881682.55,10785917025964.967,61653106876222.77,158394846.0,1853293.0
84.00810647010803,7781001407.738933,42559664168623.414,10787706317618.777,61657189048198.64,158659452.0,1856054.0
85.00858855247498,7781854900.524686,42562573784446.63,10788868638585.56,61660760950656.73,158872753.0,1858271.0
86.0090172290802,7782258937.510773,42565309323231.62,10789673189446.447,61664468536615.61,159042025.0,1860025.0
87.00869703292847,7782522739.469539,42568051426092.86,10790392482052.14,61668209427554.95,159199191.0,1861685.0
88.00921392440796,7782869953.856534,42570792795251.5,10791130588340.781,61671871714884.05,159332814.0,1863103.0
89.00887513160706,7783246628.987446,42573565895153.79,10791785705915.414,61675571666532.58,159460958.0,1864481.0
90.00886416435242,7785357847.108968,42577917856766.28,10794132351090.006,61680244248624.734,159601249.0,1865927.0
91.0093457698822,7786711375.668333,42581143447355.14,10795537852650.65,61683843410978.84,159760539.0,1867605.0
92.00922846794128,7787154707.60453,42583838688578.21,10796312394355.137,61687455646376.07,159905314.0,1869116.0
93.00935506820679,7788777976.609567,42588304702365.51,10798664598847.252,61692085047154.05,160078144.0,1870875.0
94.00949358940125,7790146288.894661,42591732821044.875,10800342638098.498,61696069794039.33,160310584.0,1873389.0
95.00981616973877,7790807339.118734,42594381769435.375,10801241513281.389,61699722554041.55,160485369.0,1875094.0
