timestamp,cache_misses,cpu_cycles,instructions,ref_cpu_cycles,rx_bytes,rx_packets
0.0,5218331471.23235,29090413000188.684,7697528162647.892,42430692172844.2,160641100.0,1373851.0
0.9994947910308838,5219329437.192905,29095115205418.426,7700198674434.948,42435655672946.69,160885815.0,1375933.0
2.000030517578125,5220033094.615434,29098449323095.41,7701658567460.97,42439691281504.97,161139707.0,1378085.0
2.9996535778045654,5221274608.686632,29102035100118.293,7703138551249.338,42444043257520.625,161376014.0,1380096.0
3.9998226165771484,5221674448.165358,29105607281948.645,7704472339102.009,42448416124766.13,161563610.0,1381699.0
5.0003135204315186,5222467623.574453,29109420872884.453,7706028941220.116,42452788088341.83,161747759.0,1383273.0
6.000471115112305,5223888577.6611395,29113943261310.44,7708515481259.887,42457494094885.75,161913891.0,1384692.0
7.000071048736572,5224743019.694318,29117120157040.137,7709897128272.339,42461416694506.75,162114347.0,1386414.0
8.00053095817566,5225334388.809592,29121167180229.668,7711492747732.444,42466126289321.33,162338065.0,1388322.0
9.000612258911133,5227167481.067172,29126001204455.273,7714222468402.045,42471235429766.6,162617133.0,1390707.0
10.00044870376587,5228177384.606866,29130271156130.645,7716385652502.434,42476026270074.91,162912971.0,1393232.0
11.000404596328735,5228513589.14258,29134105957489.72,7717911499032.334,42480545905779.67,163257136.0,1396173.0
12.000590562820435,5228906567.53464,29138358611118.68,7719575776903.334,42485525601035.37,163557359.0,1398727.0
13.00053071975708,5229246132.869827,29142978203537.113,7721394871841.632,42490822346614.12,163972200.0,1402261.0
14.001070976257324,5229946434.488787,29147760576697.69,7723668648195.528,42496151482211.67,164360392.0,1405585.0
15.001009225845337,5231979409.003933,29153380898407.918,7727040727227.478,42501968324201.125,164795413.0,1409295.0
16.00110912322998,5232905711.818671,29158238832006.613,7729691041215.184,42507291743880.45,165253310.0,1413208.0
17.0007266998291,5234343355.901926,29162832674286.176,7732128994964.598,42512305586721.59,165773190.0,1417654.0
18.001418352127075,5235181435.890245,29167763160345.945,7734755219494.295,42517695836332.11,166264795.0,1421851.0
19.00148630142212,5237290294.0540085,29174071296343.742,7738578465801.713,42524020798020.99,166774367.0,1426216.0
20.00099778175354,5238803323.843603,29179755565432.574,7741817276174.095,42529915937569.55,167241534.0,1430213.0
